year,USGS,State or other agency
1980,5803.0,
1981,5301.0,4.0
1982,5301.0,4.0
1983,5116.0,6.0
1984,5241.0,9.0
1985,5345.0,79.0
1986,5341.0,9.0
1987,4853.0,10.0
1988,5399.0,110.0
1989,6055.0,114.0
1990,6447.0,72.0
1991,6719.0,14.0
1992,6839.0,7.0
1993,6967.0,30.0
1994,6119.0,20.0
1995,6852.0,26.0
1996,6622.0,14.0
1997,7131.0,209.0
1998,7722.0,249.0
1999,8075.0,417.0
2000,9604.0,657.0
2001,9710.0,726.0
2002,8175.0,686.0
2003,7957.0,634.0
2004,7309.0,649.0
2005,5969.0,701.0
2006,6246.0,800.0
2007,7034.0,832.0
2008,8304.0,765.0
2009,8082.0,957.0
2010,6892.0,962.0
2011,6735.0,913.0
2012,7971.0,752.0
2013,8032.0,587.0
2014,8739.0,439.0
2015,8293.0,550.0
2016,8666.0,726.0
2017,10343.0,733.0
2018,14517.0,384.0
2019,18829.0,186.0
